id_hecho,n_victimas,fecha,franja_hora,tipo_calle,comuna,pos_x,pos_y,participantes,acusado,gravedad,rol,vehiculo_victima,sexo_victima,edad_victima
2018-0107,1,2018-10-06,14,avenida,3.0,-58.4059686,-34.61011987,peaton-pasajeros,pasajeros,fatal,peatón,peatón,femenino,62
2018-0108,1,2018-10-09,14,avenida,1.0,-58.36154069,-34.60463618,moto-auto,auto,fatal,conductor,moto,masculino,37
2018-0109,1,2018-10-10,22,avenida,1.0,-58.37062179,-34.60066507,peaton-pasajeros,pasajeros,fatal,peatón,peatón,masculino,34
2018-0110,1,2018-10-13,3,avenida,15.0,-58.43220014,-34.60207186,peaton-moto,moto,fatal,peatón,peatón,masculino,60
2018-0111,1,2018-10-19,12,autopista,9.0,-58.46958442,-34.64949724,moto-cargas,cargas,fatal,conductor,moto,masculino,28
2018-0112,1,2018-10-24,9,calle,15.0,-58.44671397,-34.59970903,moto-cargas,cargas,fatal,conductor,moto,femenino,28
2018-0113,1,2018-10-25,11,calle,11.0,-58.47152163,-34.61474911,moto-cargas,cargas,fatal,conductor,moto,masculino,20
2018-0114,1,2018-10-30,2,avenida,1.0,-58.39032921,-34.61807951,moto-auto,auto,fatal,conductor,moto,masculino,23
2018-0115,1,2018-10-31,12,calle,9.0,-58.52887773,-34.64297861,peaton-pasajeros,pasajeros,fatal,peatón,peatón,masculino,42
2018-0116,1,2018-11-01,10,gral paz,8.0,-58.49371157,-34.67981324,peaton-cargas,cargas,fatal,peatón,peatón,masculino,48
2018-0117,1,2018-11-04,8,avenida,9.0,-58.48266599,-34.66012327,moto-moto,moto,fatal,conductor,moto,masculino,30
2018-0118,1,2018-11-05,14,avenida,3.0,-58.40612253,-34.60774301,peaton-moto,moto,fatal,peatón,peatón,femenino,80
2018-0119,1,2018-11-05,22,avenida,8.0,-58.43613623,-34.66292532,peaton-sd,,fatal,peatón,peatón,femenino,32
2018-0120,1,2018-11-09,13,avenida,12.0,-58.48250732,-34.57208238,peaton-auto,auto,fatal,peatón,peatón,femenino,51
2018-0121,1,2018-11-09,16,avenida,10.0,-58.49945705,-34.6374328,peaton-pasajeros,pasajeros,fatal,peatón,peatón,femenino,72
2018-0122,1,2018-11-12,1,autopista,8.0,-58.47743966,-34.67233407,auto-auto,auto,fatal,conductor,auto,masculino,33
2018-0123,1,2018-11-12,3,gral paz,9.0,-58.5025179,-34.67450313,auto-sd,,fatal,conductor,auto,masculino,25
2018-0124,1,2018-11-15,19,autopista,9.0,-58.52144411,-34.63682499,cargas-cargas,cargas,fatal,conductor,cargas,masculino,44
2018-0125,1,2018-11-16,21,avenida,4.0,-58.41650465,-34.65084045,peaton-pasajeros,pasajeros,fatal,peatón,peatón,masculino,29
2018-0126,1,2018-11-18,12,gral paz,9.0,-58.52994219,-34.64055918,moto-auto,auto,fatal,conductor,moto,masculino,27
2018-0127,1,2018-11-19,9,gral paz,12.0,-58.50993046,-34.56919739,moto-moto,moto,fatal,conductor,moto,masculino,29
